gene	lasso_group	selected_in_marine	selected_in_aquatic	marine_coef	aquatic_coef	max_abs_coef	coefficient_direction_summary	pro_recommended_module	display_module	recommended_submodule_or_function	annotation_confidence	recommended_for_Figure4C_original	recommended_for_Figure4C_display	recommended_for_TableS5_only	keep_unassigned	evidence_summary	key_sources	reason_for_assignment	notes_for_manual_review	display_decision_note
SPINT4	aquatic_specific	False	True	0.0	-0.0769933	0.0769933	aquatic slow direction negative	Epithelial / body-surface interface	Epithelial / body-surface interface	secreted serine protease inhibitor / epithelial protease regulation	medium	True	True	False	False	secreted serine protease inhibitor / epithelial protease regulation. Serine protease inhibitor family member; plausible epithelial/protease-interface placement.	UniProt; NCBI Gene; GO	Serine protease inhibitor family member; plausible epithelial/protease-interface placement.	Manual review: limited functional literature; keep medium confidence.	Main Figure4C display candidate under compressed-module policy.
ALOX12B	marine_specific	True	False	0.149754	0.0	0.149754	marine fast direction positive	Epithelial / body-surface interface	Epithelial / body-surface interface	epidermal lipid processing and skin barrier formation	high	True	True	False	False	epidermal lipid processing and skin barrier formation. Lipoxygenase linked to epidermal barrier lipid metabolism and ichthyosis phenotypes.	UniProt; NCBI Gene; GO; OMIM	Lipoxygenase linked to epidermal barrier lipid metabolism and ichthyosis phenotypes.		Main Figure4C display candidate under compressed-module policy.
CAPN14	marine_specific	True	False	0.342439	0.0	0.342439	marine fast direction positive	Epithelial / body-surface interface	Epithelial / body-surface interface	epithelial calpain/protease function	medium	True	True	False	False	epithelial calpain/protease function. Epithelial-enriched calpain with disease links in esophageal epithelial inflammation; suitable as body-surface/epithelial interface gene.	UniProt; NCBI Gene; GO; PubMed	Epithelial-enriched calpain with disease links in esophageal epithelial inflammation; suitable as body-surface/epithelial interface gene.		Main Figure4C display candidate under compressed-module policy.
KRT17	marine_specific	True	False	0.189862	0.0	0.189862	marine fast direction positive	Epithelial / body-surface interface	Epithelial / body-surface interface	keratin intermediate filament and epithelial stress response	high	True	True	False	False	keratin intermediate filament and epithelial stress response. Keratin gene with strong epithelial/barrier cytoskeleton function.	UniProt; NCBI Gene; GO; OMIM	Keratin gene with strong epithelial/barrier cytoskeleton function.		Main Figure4C display candidate under compressed-module policy.
TGM5	marine_specific	True	False	0.0730096	0.0	0.0730096	marine fast direction positive	Epithelial / body-surface interface	Epithelial / body-surface interface	epidermal transglutaminase/cornification	high	True	True	False	False	epidermal transglutaminase/cornification. Transglutaminase with epidermal barrier/cornification relevance.	UniProt; NCBI Gene; GO; OMIM	Transglutaminase with epidermal barrier/cornification relevance.		Main Figure4C display candidate under compressed-module policy.
KRTDAP	shared	True	True	0.386566	0.0447306	0.386566	marine fast direction positive; aquatic fast direction positive	Epithelial / body-surface interface	Epithelial / body-surface interface	keratinocyte differentiation-associated protein	high	True	True	False	False	keratinocyte differentiation-associated protein. Canonical keratinocyte differentiation marker; fits epithelial barrier/body-surface interface.	UniProt; NCBI Gene; GO	Canonical keratinocyte differentiation marker; fits epithelial barrier/body-surface interface.		Main Figure4C display candidate under compressed-module policy.
SDR9C7	shared	True	True	0.40939	0.220182	0.40939	marine fast direction positive; aquatic fast direction positive	Epithelial / body-surface interface	Epithelial / body-surface interface	epidermal lipid/barrier metabolism	high	True	True	False	False	epidermal lipid/barrier metabolism. Short-chain dehydrogenase/reductase required for epidermal barrier lipid processing.	UniProt; NCBI Gene; GO; OMIM	Short-chain dehydrogenase/reductase required for epidermal barrier lipid processing.		Main Figure4C display candidate under compressed-module policy.
TGM1	shared	True	True	0.0321439	0.0320266	0.0321439	marine fast direction positive; aquatic fast direction positive	Epithelial / body-surface interface	Epithelial / body-surface interface	transglutaminase-mediated cornified envelope formation	high	True	True	False	False	transglutaminase-mediated cornified envelope formation. Transglutaminase central to cornified envelope/skin barrier.	UniProt; NCBI Gene; GO; OMIM	Transglutaminase central to cornified envelope/skin barrier.		Main Figure4C display candidate under compressed-module policy.
TGM3	shared	True	True	0.691315	1.04081	1.04081	marine fast direction positive; aquatic fast direction positive	Epithelial / body-surface interface	Epithelial / body-surface interface	epidermal/hair transglutaminase cross-linking	high	True	True	False	False	epidermal/hair transglutaminase cross-linking. Transglutaminase involved in epithelial/hair structural cross-linking.	UniProt; NCBI Gene; GO; OMIM	Transglutaminase involved in epithelial/hair structural cross-linking.		Main Figure4C display candidate under compressed-module policy.
CSMD1	aquatic_specific	False	True	0.0	0.0435718	0.0435718	aquatic fast direction positive	Immune / inflammatory regulation	Immune / inflammatory regulation	complement-control domain membrane protein	medium	True	True	False	False	complement-control domain membrane protein. Contains CUB/sushi complement-control domains; immune/complement placement plausible but broad.	UniProt; NCBI Gene; GO	Contains CUB/sushi complement-control domains; immune/complement placement plausible but broad.	Manual review: large multifunctional membrane gene; alternative neural/adhesion interpretations possible.	Main Figure4C display candidate under compressed-module policy.
MEFV	aquatic_specific	False	True	0.0	-0.106235	0.106235	aquatic slow direction negative	Immune / inflammatory regulation	Immune / inflammatory regulation	inflammasome/autoinflammatory regulation	high	True	True	False	False	inflammasome/autoinflammatory regulation. Pyrin/autoinflammatory disease gene; strong immune/inflammatory assignment.	UniProt; NCBI Gene; GO; OMIM	Pyrin/autoinflammatory disease gene; strong immune/inflammatory assignment.		Main Figure4C display candidate under compressed-module policy.
NLRP8	aquatic_specific	False	True	0.0	-0.249358	0.249358	aquatic slow direction negative	Immune / inflammatory regulation	Immune / inflammatory regulation	NLR-family innate immune/inflammasome-related receptor	medium	True	True	False	False	NLR-family innate immune/inflammasome-related receptor. NOD-like receptor family gene; immune assignment is plausible but less characterized than canonical inflammasome genes.	UniProt; NCBI Gene; GO	NOD-like receptor family gene; immune assignment is plausible but less characterized than canonical inflammasome genes.	Manual review: NLRP8 function less deeply curated; keep medium confidence.	Main Figure4C display candidate under compressed-module policy.
SIGIRR	aquatic_specific	False	True	0.0	-0.210303	0.210303	aquatic slow direction negative	Immune / inflammatory regulation	Immune / inflammatory regulation	negative regulation of IL-1/Toll-like receptor signaling	high	True	True	False	False	negative regulation of IL-1/Toll-like receptor signaling. Known inhibitor/regulator of IL-1 receptor/TLR signaling.	UniProt; NCBI Gene; GO; Reactome	Known inhibitor/regulator of IL-1 receptor/TLR signaling.		Main Figure4C display candidate under compressed-module policy.
XCR1	aquatic_specific	False	True	0.0	-0.128895	0.128895	aquatic slow direction negative	Immune / inflammatory regulation	Immune / inflammatory regulation	chemokine receptor for dendritic-cell immune signaling	high	True	True	False	False	chemokine receptor for dendritic-cell immune signaling. Chemokine receptor with immune-cell signaling function.	UniProt; NCBI Gene; GO	Chemokine receptor with immune-cell signaling function.		Main Figure4C display candidate under compressed-module policy.
IL36G	marine_specific	True	False	0.16602	0.0	0.16602	marine fast direction positive	Immune / inflammatory regulation	Immune / inflammatory regulation	IL-36 cytokine / inflammatory skin and epithelial immunity	high	True	True	False	False	IL-36 cytokine / inflammatory skin and epithelial immunity. Interleukin-36 cytokine with strong inflammatory/epithelial immune role; priority rescue gene.	UniProt; NCBI Gene; GO; PubMed	Interleukin-36 cytokine with strong inflammatory/epithelial immune role; priority rescue gene.		Main Figure4C display candidate under compressed-module policy.
TREM2	marine_specific	True	False	-0.0898257	0.0	0.0898257	marine slow direction negative	Immune / inflammatory regulation	Immune / inflammatory regulation	myeloid immune receptor and inflammatory regulation	high	True	True	False	False	myeloid immune receptor and inflammatory regulation. Myeloid receptor with immune/inflammatory and microglial biology.	UniProt; NCBI Gene; GO; OMIM	Myeloid receptor with immune/inflammatory and microglial biology.		Main Figure4C display candidate under compressed-module policy.
IL33	shared	True	True	0.270443	0.340039	0.340039	marine fast direction positive; aquatic fast direction positive	Immune / inflammatory regulation	Immune / inflammatory regulation	interleukin cytokine and epithelial immune signaling	high	True	True	False	False	interleukin cytokine and epithelial immune signaling. Interleukin cytokine/alarming immune mediator.	UniProt; NCBI Gene; GO	Interleukin cytokine/alarming immune mediator.		Main Figure4C display candidate under compressed-module policy.
CACNA1G	aquatic_specific	False	True	0.0	0.593855	0.593855	aquatic fast direction positive	Ion channels and membrane signaling	Ion channels / mechanosensation / membrane signaling	T-type calcium channel subunit	high	True	True	False	False	T-type calcium channel subunit. Voltage-gated calcium channel subunit.	UniProt; NCBI Gene; GO; OMIM	Voltage-gated calcium channel subunit.		Main Figure4C display candidate under compressed-module policy.
IP6K1	aquatic_specific	False	True	0.0	-0.00832535	0.00832535	aquatic slow direction negative	Ion channels and membrane signaling	Ion channels / mechanosensation / membrane signaling	inositol phosphate kinase signaling	medium	True	False	True	False	inositol phosphate kinase signaling. Inositol phosphate kinase; broad membrane/signaling placement.	UniProt; NCBI Gene; Reactome; GO	Inositol phosphate kinase; broad membrane/signaling placement.	Manual review: broad metabolic/signaling gene; keep medium confidence.	Explicit final decision: retain annotation in Table S5 only; do not display in main Figure4C.
NOXO1	aquatic_specific	False	True	0.0	-0.0179148	0.0179148	aquatic slow direction negative	Ion channels and membrane signaling	Ion channels / mechanosensation / membrane signaling	NADPH oxidase organizer / membrane redox signaling	medium	True	False	True	False	NADPH oxidase organizer / membrane redox signaling. NADPH oxidase organizer in membrane redox signaling; close to signaling rather than metabolism.	UniProt; NCBI Gene; GO	NADPH oxidase organizer in membrane redox signaling; close to signaling rather than metabolism.		Explicit final decision: retain annotation in Table S5 only; do not display in main Figure4C.
PI4KA	aquatic_specific	False	True	0.0	-0.161214	0.161214	aquatic slow direction negative	Ion channels and membrane signaling	Ion channels / mechanosensation / membrane signaling	phosphoinositide membrane signaling kinase	high	True	True	False	False	phosphoinositide membrane signaling kinase. Membrane phosphoinositide kinase supporting membrane signaling.	UniProt; NCBI Gene; Reactome; GO	Membrane phosphoinositide kinase supporting membrane signaling.		Main Figure4C display candidate under compressed-module policy.
PIEZO1	aquatic_specific	False	True	0.0	0.100221	0.100221	aquatic fast direction positive	Ion channels and membrane signaling	Ion channels / mechanosensation / membrane signaling	mechanosensitive ion channel	high	True	True	False	False	mechanosensitive ion channel. Canonical mechanosensitive ion channel.	UniProt; NCBI Gene; GO; OMIM	Canonical mechanosensitive ion channel.		Main Figure4C display candidate under compressed-module policy.
CALHM1	marine_specific	True	False	0.145697	0.0	0.145697	marine fast direction positive	Ion channels and membrane signaling	Ion channels / mechanosensation / membrane signaling	calcium homeostasis modulator channel	high	True	True	False	False	calcium homeostasis modulator channel. Membrane channel involved in calcium homeostasis.	UniProt; NCBI Gene; GO	Membrane channel involved in calcium homeostasis.		Main Figure4C display candidate under compressed-module policy.
KCNK18	shared	True	True	0.439288	0.217561	0.439288	marine fast direction positive; aquatic fast direction positive	Ion channels and membrane signaling	Ion channels / mechanosensation / membrane signaling	two-pore-domain potassium channel	high	True	True	False	False	two-pore-domain potassium channel. Potassium channel; direct ion-channel assignment.	UniProt; NCBI Gene; GO; OMIM	Potassium channel; direct ion-channel assignment.		Main Figure4C display candidate under compressed-module policy.
CLTCL1	aquatic_specific	False	True	0.0	-0.122013	0.122013	aquatic slow direction negative	Membrane trafficking / ER / vesicle processing	Membrane trafficking / ER / vesicle processing	clathrin heavy-chain-like vesicle coat	high	True	False	True	False	clathrin heavy-chain-like vesicle coat. Clathrin-like vesicle coat protein.	UniProt; NCBI Gene; GO	Clathrin-like vesicle coat protein.		Optional/Table S5-only by default because membrane trafficking / ER / vesicle processing is excluded from main Figure4C.
LLGL1	aquatic_specific	False	True	0.0	0.0221096	0.0221096	aquatic fast direction positive	Membrane trafficking / ER / vesicle processing	Membrane trafficking / ER / vesicle processing	cell-polarity and vesicle trafficking regulator	medium	True	False	True	False	cell-polarity and vesicle trafficking regulator. Lethal giant larvae homolog linked to polarity/vesicle trafficking.	UniProt; NCBI Gene; GO	Lethal giant larvae homolog linked to polarity/vesicle trafficking.		Optional/Table S5-only by default because membrane trafficking / ER / vesicle processing is excluded from main Figure4C.
SEC61A2	aquatic_specific	False	True	0.0	0.176584	0.176584	aquatic fast direction positive	Membrane trafficking / ER / vesicle processing	Membrane trafficking / ER / vesicle processing	ER protein-translocation channel subunit	high	True	False	True	False	ER protein-translocation channel subunit. SEC61 translocon subunit; ER protein processing.	UniProt; NCBI Gene; GO; Reactome	SEC61 translocon subunit; ER protein processing.		Optional/Table S5-only by default because membrane trafficking / ER / vesicle processing is excluded from main Figure4C.
SYTL5	aquatic_specific	False	True	0.0	0.265994	0.265994	aquatic fast direction positive	Membrane trafficking / ER / vesicle processing	Membrane trafficking / ER / vesicle processing	synaptotagmin-like vesicle trafficking	medium	True	False	True	False	synaptotagmin-like vesicle trafficking. Synaptotagmin-like Rab effector/vesicle trafficking protein.	UniProt; NCBI Gene; GO	Synaptotagmin-like Rab effector/vesicle trafficking protein.		Optional/Table S5-only by default because membrane trafficking / ER / vesicle processing is excluded from main Figure4C.
APH1B	marine_specific	True	False	-0.152261	0.0	0.152261	marine slow direction negative	Membrane trafficking / ER / vesicle processing	Membrane trafficking / ER / vesicle processing	gamma-secretase complex subunit / membrane proteolysis	high	True	False	True	False	gamma-secretase complex subunit / membrane proteolysis. Membrane protein processing/gamma-secretase complex.	UniProt; NCBI Gene; Reactome	Membrane protein processing/gamma-secretase complex.		Optional/Table S5-only by default because membrane trafficking / ER / vesicle processing is excluded from main Figure4C.
ATG2A	marine_specific	True	False	-0.0892133	0.0	0.0892133	marine slow direction negative	Membrane trafficking / ER / vesicle processing	Membrane trafficking / ER / vesicle processing	autophagy membrane transfer protein	high	True	False	True	False	autophagy membrane transfer protein. Autophagy membrane dynamics factor.	UniProt; NCBI Gene; GO; Reactome	Autophagy membrane dynamics factor.		Optional/Table S5-only by default because membrane trafficking / ER / vesicle processing is excluded from main Figure4C.
BAK1	marine_specific	True	False	-0.02207	0.0	0.02207	marine slow direction negative	Membrane trafficking / ER / vesicle processing	Membrane trafficking / ER / vesicle processing	mitochondrial apoptosis membrane protein	medium	True	False	True	False	mitochondrial apoptosis membrane protein. BCL2-family mitochondrial membrane apoptosis regulator; kept in membrane/ER/vesicle optional module.	UniProt; NCBI Gene; GO; Reactome	BCL2-family mitochondrial membrane apoptosis regulator; kept in membrane/ER/vesicle optional module.	Manual review: could form cell-death module, but single gene does not justify extra Figure 4C row.	Optional/Table S5-only by default because membrane trafficking / ER / vesicle processing is excluded from main Figure4C.
ESYT3	marine_specific	True	False	0.153832	0.0	0.153832	marine fast direction positive	Membrane trafficking / ER / vesicle processing	Membrane trafficking / ER / vesicle processing	ER-plasma-membrane contact/tethering protein	high	True	False	True	False	ER-plasma-membrane contact/tethering protein. Extended synaptotagmin family membrane contact protein.	UniProt; NCBI Gene; GO	Extended synaptotagmin family membrane contact protein.		Optional/Table S5-only by default because membrane trafficking / ER / vesicle processing is excluded from main Figure4C.
ABHD8	aquatic_specific	False	True	0.0	0.123392	0.123392	aquatic fast direction positive	Fatty-acid / lipid / peroxisomal metabolism	Metabolism / redox / lipid handling	alpha/beta hydrolase domain lipid enzyme	medium	True	True	False	False	alpha/beta hydrolase domain lipid enzyme. Hydrolase-domain protein; lipid/metabolic placement plausible but less specific.	UniProt; NCBI Gene; GO	Hydrolase-domain protein; lipid/metabolic placement plausible but less specific.		Main Figure4C display candidate under compressed-module policy.
ACADSB	aquatic_specific	False	True	0.0	-0.238865	0.238865	aquatic slow direction negative	Fatty-acid / lipid / peroxisomal metabolism	Metabolism / redox / lipid handling	branched-chain acyl-CoA dehydrogenase / fatty-acid oxidation	high	True	True	False	False	branched-chain acyl-CoA dehydrogenase / fatty-acid oxidation. Mitochondrial acyl-CoA dehydrogenase; fatty-acid/amino-acid oxidation.	UniProt; NCBI Gene; GO; OMIM	Mitochondrial acyl-CoA dehydrogenase; fatty-acid/amino-acid oxidation.		Main Figure4C display candidate under compressed-module policy.
ACOX3	aquatic_specific	False	True	0.0	-0.11813	0.11813	aquatic slow direction negative	Fatty-acid / lipid / peroxisomal metabolism	Metabolism / redox / lipid handling	peroxisomal acyl-CoA oxidase	high	True	True	False	False	peroxisomal acyl-CoA oxidase. Peroxisomal acyl-CoA oxidase; priority rescue.	UniProt; NCBI Gene; GO	Peroxisomal acyl-CoA oxidase; priority rescue.		Main Figure4C display candidate under compressed-module policy.
ARSA	aquatic_specific	False	True	0.0	0.086237	0.086237	aquatic fast direction positive	Mitochondrial / redox / intermediary metabolism	Metabolism / redox / lipid handling	lysosomal sulfatide metabolism	high	True	True	False	False	lysosomal sulfatide metabolism. Lysosomal arylsulfatase; metabolic catabolism assignment.	UniProt; NCBI Gene; GO; OMIM	Lysosomal arylsulfatase; metabolic catabolism assignment.		Main Figure4C display candidate under compressed-module policy.
EHHADH	aquatic_specific	False	True	0.0	-0.134705	0.134705	aquatic slow direction negative	Fatty-acid / lipid / peroxisomal metabolism	Metabolism / redox / lipid handling	peroxisomal beta-oxidation enzyme	high	True	True	False	False	peroxisomal beta-oxidation enzyme. Peroxisomal bifunctional enzyme in fatty-acid beta-oxidation.	UniProt; NCBI Gene; GO	Peroxisomal bifunctional enzyme in fatty-acid beta-oxidation.		Main Figure4C display candidate under compressed-module policy.
GGTLC1	aquatic_specific	False	True	0.0	-0.291164	0.291164	aquatic slow direction negative	Mitochondrial / redox / intermediary metabolism	Metabolism / redox / lipid handling	glutathione/gamma-glutamyl metabolism	medium	True	True	False	False	glutathione/gamma-glutamyl metabolism. Gamma-glutamyltransferase-like genes; metabolic/redox placement plausible.	UniProt; NCBI Gene; GO	Gamma-glutamyltransferase-like genes; metabolic/redox placement plausible.		Main Figure4C display candidate under compressed-module policy.
GGTLC3	aquatic_specific	False	True	0.0	-0.0726999	0.0726999	aquatic slow direction negative	Mitochondrial / redox / intermediary metabolism	Metabolism / redox / lipid handling	glutathione/gamma-glutamyl metabolism	medium	True	True	False	False	glutathione/gamma-glutamyl metabolism. Gamma-glutamyltransferase-like genes; metabolic/redox placement plausible.	UniProt; NCBI Gene; GO	Gamma-glutamyltransferase-like genes; metabolic/redox placement plausible.		Main Figure4C display candidate under compressed-module policy.
HPRT1	aquatic_specific	False	True	0.0	-0.0995975	0.0995975	aquatic slow direction negative	Mitochondrial / redox / intermediary metabolism	Metabolism / redox / lipid handling	purine salvage metabolism	high	True	True	False	False	purine salvage metabolism. Canonical purine-salvage enzyme.	UniProt; NCBI Gene; GO; OMIM	Canonical purine-salvage enzyme.		Main Figure4C display candidate under compressed-module policy.
KMO	aquatic_specific	False	True	0.0	-0.0725496	0.0725496	aquatic slow direction negative	Mitochondrial / redox / intermediary metabolism	Metabolism / redox / lipid handling	kynurenine pathway oxidoreductase	high	True	True	False	False	kynurenine pathway oxidoreductase. Kynurenine metabolism enzyme.	UniProt; NCBI Gene; GO	Kynurenine metabolism enzyme.		Main Figure4C display candidate under compressed-module policy.
PDK1	aquatic_specific	False	True	0.0	-0.0696001	0.0696001	aquatic slow direction negative	Mitochondrial / redox / intermediary metabolism	Metabolism / redox / lipid handling	pyruvate dehydrogenase kinase / glucose metabolism	high	True	True	False	False	pyruvate dehydrogenase kinase / glucose metabolism. Key regulator of pyruvate dehydrogenase and oxidative metabolism.	UniProt; NCBI Gene; GO	Key regulator of pyruvate dehydrogenase and oxidative metabolism.		Main Figure4C display candidate under compressed-module policy.
PFKP	aquatic_specific	False	True	0.0	-0.356881	0.356881	aquatic slow direction negative	Mitochondrial / redox / intermediary metabolism	Metabolism / redox / lipid handling	glycolytic phosphofructokinase	high	True	True	False	False	glycolytic phosphofructokinase. Canonical glycolytic enzyme.	UniProt; NCBI Gene; GO	Canonical glycolytic enzyme.		Main Figure4C display candidate under compressed-module policy.
PPP1R3A	aquatic_specific	False	True	0.0	-0.0310971	0.0310971	aquatic slow direction negative	Mitochondrial / redox / intermediary metabolism	Metabolism / redox / lipid handling	glycogen metabolism regulation	high	True	True	False	False	glycogen metabolism regulation. Regulatory subunit of protein phosphatase 1 targeting glycogen metabolism.	UniProt; NCBI Gene; GO	Regulatory subunit of protein phosphatase 1 targeting glycogen metabolism.		Main Figure4C display candidate under compressed-module policy.
TMPPE	aquatic_specific	False	True	0.0	-0.00232451	0.00232451	aquatic slow direction negative	Fatty-acid / lipid / peroxisomal metabolism	Metabolism / redox / lipid handling	transmembrane phosphoesterase / lipid-like metabolism	low	False	False	True	False	transmembrane phosphoesterase / lipid-like metabolism. Poorly characterized membrane phosphoesterase; keep low-confidence lipid/metabolic only in Table S5.	UniProt; NCBI Gene	Poorly characterized membrane phosphoesterase; keep low-confidence lipid/metabolic only in Table S5.	Manual review: low evidence; do not emphasize in main figure if space constrained.	
DCXR	marine_specific	True	False	-0.0329559	0.0	0.0329559	marine slow direction negative	Mitochondrial / redox / intermediary metabolism	Metabolism / redox / lipid handling	carbonyl/xylulose reductase carbohydrate metabolism	high	True	True	False	False	carbonyl/xylulose reductase carbohydrate metabolism. Dehydrogenase/reductase in carbohydrate metabolism.	UniProt; NCBI Gene; GO	Dehydrogenase/reductase in carbohydrate metabolism.		Main Figure4C display candidate under compressed-module policy.
IDUA	marine_specific	True	False	-0.0503353	0.0	0.0503353	marine slow direction negative	Mitochondrial / redox / intermediary metabolism	Metabolism / redox / lipid handling	lysosomal glycosaminoglycan catabolism	high	True	True	False	False	lysosomal glycosaminoglycan catabolism. Lysosomal enzyme in carbohydrate/glycosaminoglycan metabolism.	UniProt; NCBI Gene; GO; OMIM	Lysosomal enzyme in carbohydrate/glycosaminoglycan metabolism.		Main Figure4C display candidate under compressed-module policy.
FN3K	shared	True	True	-0.21786	-0.244837	0.244837	marine slow direction negative; aquatic slow direction negative	Mitochondrial / redox / intermediary metabolism	Metabolism / redox / lipid handling	fructosamine deglycation kinase	high	True	True	False	False	fructosamine deglycation kinase. Metabolic repair enzyme for glycated proteins.	UniProt; NCBI Gene; GO	Metabolic repair enzyme for glycated proteins.		Main Figure4C display candidate under compressed-module policy.
NUBP2	shared	True	True	-0.0844817	-0.239999	0.239999	marine slow direction negative; aquatic slow direction negative	Mitochondrial / redox / intermediary metabolism	Metabolism / redox / lipid handling	iron-sulfur cluster assembly / nucleotide-binding protein	medium	True	True	False	False	iron-sulfur cluster assembly / nucleotide-binding protein. Nucleotide-binding protein linked to iron-sulfur cluster assembly; metabolic/redox placement.	UniProt; NCBI Gene; GO	Nucleotide-binding protein linked to iron-sulfur cluster assembly; metabolic/redox placement.		Main Figure4C display candidate under compressed-module policy.
PNPLA7	shared	True	True	0.106736	0.137886	0.137886	marine fast direction positive; aquatic fast direction positive	Fatty-acid / lipid / peroxisomal metabolism	Metabolism / redox / lipid handling	patatin-like phospholipase/lipid metabolism	high	True	True	False	False	patatin-like phospholipase/lipid metabolism. Patatin-like phospholipase family gene; strong lipid metabolism rescue.	UniProt; NCBI Gene; GO	Patatin-like phospholipase family gene; strong lipid metabolism rescue.		Main Figure4C display candidate under compressed-module policy.
PUSL1	shared	True	True	-0.270478	-0.314221	0.314221	marine slow direction negative; aquatic slow direction negative	Mitochondrial / redox / intermediary metabolism	Metabolism / redox / lipid handling	pseudouridine synthase-like mitochondrial/RNA modification factor	medium	True	True	False	False	pseudouridine synthase-like mitochondrial/RNA modification factor. Pseudouridine synthase-like protein; grouped with mitochondrial/intermediary metabolism based on previous panel logic.	UniProt; NCBI Gene; GO	Pseudouridine synthase-like protein; grouped with mitochondrial/intermediary metabolism based on previous panel logic.	Manual review: could alternatively be RNA processing.	Main Figure4C display candidate under compressed-module policy.
CCDC174	aquatic_specific	False	True	0.0	-0.016218	0.016218	aquatic slow direction negative	RNA processing / translation / protein homeostasis	RNA processing / translation / protein homeostasis	RNA-associated coiled-coil protein / translation-related literature	low	False	False	True	False	RNA-associated coiled-coil protein / translation-related literature. Weakly characterized; kept with RNA/protein-homeostasis supplementary module only.	NCBI Gene; HGNC; GO	Weakly characterized; kept with RNA/protein-homeostasis supplementary module only.	Manual review: low evidence; do not show in main figure.	Table S5-only module under final display policy.
RARS1	marine_specific	True	False	-0.115427	0.0	0.115427	marine slow direction negative	RNA processing / translation / protein homeostasis	RNA processing / translation / protein homeostasis	arginyl-tRNA synthetase / translation	high	False	False	True	False	arginyl-tRNA synthetase / translation. Aminoacyl-tRNA synthetase; clear translation function but too small a module for main Fig. 4C.	UniProt; NCBI Gene; GO; OMIM	Aminoacyl-tRNA synthetase; clear translation function but too small a module for main Fig. 4C.		Explicit final decision: retain annotation in Table S5 only; do not display in main Figure4C.
SF3B3	marine_specific	True	False	-0.0727219	0.0	0.0727219	marine slow direction negative	RNA processing / translation / protein homeostasis	RNA processing / translation / protein homeostasis	spliceosome SF3B complex component	high	False	False	True	False	spliceosome SF3B complex component. Spliceosome component; Table S5-only RNA-processing module.	UniProt; NCBI Gene; GO; Reactome	Spliceosome component; Table S5-only RNA-processing module.		Table S5-only module under final display policy.
CNGA4	aquatic_specific	False	True	0.0	0.0586555	0.0586555	aquatic fast direction positive	Sensory systems	Sensory systems	cyclic-nucleotide-gated olfactory/visual channel subunit	high	True	True	False	False	cyclic-nucleotide-gated olfactory/visual channel subunit. CNG channel subunit with sensory transduction role.	UniProt; NCBI Gene; GO	CNG channel subunit with sensory transduction role.		Main Figure4C display candidate under compressed-module policy.
PDE6C	aquatic_specific	False	True	0.0	0.0369092	0.0369092	aquatic fast direction positive	Sensory systems	Sensory systems	cone photoreceptor phosphodiesterase	high	True	True	False	False	cone photoreceptor phosphodiesterase. Cone phototransduction enzyme; visual system assignment.	UniProt; NCBI Gene; GO; OMIM	Cone phototransduction enzyme; visual system assignment.		Main Figure4C display candidate under compressed-module policy.
OR10G3	marine_specific	True	False	0.0313625	0.0	0.0313625	marine fast direction positive	Sensory systems	Sensory systems	olfactory receptor	high	True	True	False	False	olfactory receptor. Olfactory receptor gene; direct sensory assignment.	UniProt; NCBI Gene; GO	Olfactory receptor gene; direct sensory assignment.		Main Figure4C display candidate under compressed-module policy.
RDH12	marine_specific	True	False	-0.0319401	0.0	0.0319401	marine slow direction negative	Sensory systems	Sensory systems	retinoid metabolism in photoreceptors	high	True	True	False	False	retinoid metabolism in photoreceptors. Retinal dehydrogenase with inherited retinal disease links.	UniProt; NCBI Gene; GO; OMIM	Retinal dehydrogenase with inherited retinal disease links.		Main Figure4C display candidate under compressed-module policy.
STMN4	marine_specific	True	False	-0.00252384	0.0	0.00252384	marine slow direction negative	Sensory systems	Sensory systems	neuronal microtubule regulator	medium	True	True	False	False	neuronal microtubule regulator. Neuronal stathmin-family gene; included as sensory/neural remodeling with medium confidence.	UniProt; NCBI Gene; GO	Neuronal stathmin-family gene; included as sensory/neural remodeling with medium confidence.	Manual review: could alternatively fit cytoskeletal module.	Main Figure4C display candidate under compressed-module policy.
OMP	shared	True	True	0.345616	0.231145	0.345616	marine fast direction positive; aquatic fast direction positive	Sensory systems	Sensory systems	olfactory marker protein	high	True	True	False	False	olfactory marker protein. Canonical olfactory neuron marker.	UniProt; NCBI Gene; GO	Canonical olfactory neuron marker.		Main Figure4C display candidate under compressed-module policy.
OR52W1	shared	True	True	0.282799	0.190685	0.282799	marine fast direction positive; aquatic fast direction positive	Sensory systems	Sensory systems	olfactory receptor	high	True	True	False	False	olfactory receptor. Olfactory receptor gene; direct sensory assignment.	UniProt; NCBI Gene; GO	Olfactory receptor gene; direct sensory assignment.		Main Figure4C display candidate under compressed-module policy.
OR6B1	shared	True	True	0.111781	0.121133	0.121133	marine fast direction positive; aquatic fast direction positive	Sensory systems	Sensory systems	olfactory receptor	high	True	True	False	False	olfactory receptor. Olfactory receptor gene; direct sensory assignment.	UniProt; NCBI Gene; GO	Olfactory receptor gene; direct sensory assignment.		Main Figure4C display candidate under compressed-module policy.
